direction,term_name,ontology,type
downregulated,ABC transporters,KEGG,KEGG
downregulated,acyl-CoA dehydrogenase,MF,trinotate
downregulated,acyl-CoA dehydrogenase,MF,trinotate
downregulated,acyl-CoA dehydrogenase,MF,uniprot
downregulated,acyl-CoA dehydrogenase,MF,uniprot
downregulated,amino acid metabolism,BP,uniprot
downregulated,amino acid metabolism,BP,trinotate
upregulated,ameboidal-type cell migration,BP,trinotate
downregulated,amino acid metabolism,BP,uniprot
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,uniprot
downregulated,amino acid metabolism,KEGG,KEGG
regulated,amino acid metabolism,KEGG,KEGG
regulated,amino acid metabolism,KEGG,KEGG
downregulated,ATP,BP,trinotate
downregulated,ATP,BP,trinotate
downregulated,ATP,BP,trinotate
downregulated,ATP,BP,trinotate
downregulated,ATP,BP,trinotate
downregulated,ATP,BP,trinotate
downregulated,ATP,MF,trinotate
downregulated,ATPase,MF,trinotate
downregulated,ATPase,MF,uniprot
downregulated,ATPase,MF,trinotate
downregulated,ATPase,MF,uniprot
downregulated,ATPase,MF,trinotate
downregulated,ATPase,MF,uniprot
upregulated,binding,BP,trinotate
upregulated,binding,BP,trinotate
upregulated,binding,BP,trinotate
upregulated,binding,BP,trinotate
upregulated,calcium-dependent phospholipid binding,MF,trinotate
downregulated,carbohydrate metabolism,KEGG,KEGG
regulated,carbohydrate metabolism,KEGG,KEGG
downregulated,carboxylic acid,BP,trinotate
downregulated,carboxylic acid,BP,uniprot
downregulated,carboxylic acid,BP,trinotate
downregulated,carboxylic acid,BP,trinotate
regulated,carboxylic acid,BP,trinotate
downregulated,carboxylic acid,BP,trinotate
downregulated,carboxylic acid,BP,trinotate
regulated,carboxylic acid,BP,trinotate
downregulated,carboxylic acid,BP,uniprot
downregulated,catalytic activity,MF,trinotate
downregulated,catalytic activity,MF,trinotate
downregulated,catalytic activity,MF,uniprot
downregulated,catalytic activity,MF,uniprot
downregulated,catalytic activity,MF,uniprot
upregulated,catecholamine secretion,BP,trinotate
upregulated,catecholamine secretion,BP,trinotate
upregulated,catecholamine transport,BP,trinotate
upregulated,cation channel activity,MF,trinotate
upregulated,cation channel activity,MF,trinotate
upregulated,cation channel complex,CC,trinotate
upregulated,cation channel complex,CC,trinotate
upregulated,cell communication,BP,trinotate
upregulated,cell communication,BP,trinotate
upregulated,cell communication,BP,trinotate
upregulated,cell communication,BP,trinotate
upregulated,cell communication,BP,trinotate
upregulated,cell communication,BP,trinotate
upregulated,cell differentiation,BP,trinotate
upregulated,cell differentiation,BP,trinotate
upregulated,cell differentiation,BP,trinotate
upregulated,cell differentiation,BP,trinotate
downregulated,metabolism,BP,trinotate
downregulated,metabolism,BP,uniprot
upregulated,cell migration,BP,trinotate
upregulated,cell migration,BP,trinotate
upregulated,cell migration,BP,trinotate
upregulated,cell migration,BP,trinotate
upregulated,cell motility,BP,trinotate
upregulated,cell motility,BP,trinotate
upregulated,cell motility,BP,trinotate
upregulated,cell motility,BP,trinotate
upregulated,cell periphery,CC,trinotate
upregulated,cell periphery,CC,trinotate
upregulated,cell projection membrane,CC,trinotate
upregulated,cell surface receptor,BP,trinotate
upregulated,cellular component movement,BP,trinotate
upregulated,cellular component movement,BP,trinotate
upregulated,cellular component movement,BP,trinotate
upregulated,cellular process,BP,trinotate
upregulated,cellular process,BP,trinotate
upregulated,defense response,BP,trinotate
upregulated,channel activity,MF,trinotate
upregulated,channel activity,MF,trinotate
downregulated,chlorophyll biosynthesis,BP,uniprot
downregulated,chlorophyll biosynthesis,BP,uniprot
downregulated,chlorophyll biosynthesis,BP,trinotate
downregulated,chlorophyll biosynthesis,BP,uniprot
downregulated,chlorophyll biosynthesis,KEGG,KEGG
downregulated,chlorophyll biosynthesis,KEGG,KEGG
downregulated,TCA cycle,KEGG,KEGG
upregulated,clathrin binding,MF,trinotate
downregulated,CoA hydrolase activity,MF,trinotate
downregulated,coenzyme synthesis,BP,trinotate
downregulated,coenzyme binding,MF,trinotate
downregulated,coenzyme binding,MF,trinotate
regulated,coenzyme binding,MF,trinotate
downregulated,coenzyme binding,MF,uniprot
downregulated,coenzyme binding,MF,uniprot
downregulated,coenzyme synthesis,BP,trinotate
downregulated,coenzyme synthesis,BP,trinotate
regulated,coenzyme synthesis,BP,trinotate
downregulated,coenzyme synthesis,BP,uniprot
downregulated,coenzyme synthesis,BP,trinotate
downregulated,coenzyme synthesis,BP,trinotate
regulated,coenzyme synthesis,BP,trinotate
downregulated,coenzyme synthesis,BP,uniprot
downregulated,cofactor binding,MF,trinotate
downregulated,cofactor binding,MF,trinotate
regulated,cofactor binding,MF,trinotate
downregulated,cofactor binding,MF,uniprot
downregulated,cofactor binding,MF,uniprot
downregulated,cofactor synthesis,BP,trinotate
downregulated,cofactor synthesis,BP,trinotate
regulated,cofactor synthesis,BP,trinotate
downregulated,cofactor synthesis,BP,uniprot
downregulated,cofactor synthesis,BP,uniprot
downregulated,cofactor synthesis,BP,trinotate
downregulated,cofactor synthesis,BP,trinotate
regulated,cofactor synthesis,BP,trinotate
downregulated,cofactor synthesis,BP,uniprot
downregulated,cofactor synthesis,BP,uniprot
regulated,cofactor synthesis,BP,uniprot
downregulated,cytochrome complex assembly,BP,trinotate
downregulated,cytochrome complex assembly,BP,trinotate
upregulated,cytokine production,BP,trinotate
upregulated,cytokine production,BP,trinotate
upregulated,cytokine receptor binding,MF,uniprot
downregulated,cytoplasm,CC,trinotate
upregulated,defense response,BP,trinotate
upregulated,defense response,BP,trinotate
upregulated,defense response,BP,trinotate
upregulated,development,BP,trinotate
upregulated,development,BP,trinotate
upregulated,development,BP,trinotate
upregulated,development,BP,trinotate
upregulated,development,BP,trinotate
upregulated,development,BP,trinotate
upregulated,development,BP,trinotate
upregulated,development,BP,trinotate
upregulated,development,BP,trinotate
upregulated,development,BP,trinotate
downregulated,DNA methylation,BP,trinotate
upregulated,DNA transcription,MF,trinotate
upregulated,DNA transcription,MF,trinotate
upregulated,DNA transcription,BP,trinotate
upregulated,dopamine secretion,BP,trinotate
upregulated,dopamine secretion,BP,trinotate
upregulated,dopamine transport,BP,trinotate
downregulated,drug metabolism,BP,uniprot
downregulated,electron transfer,BP,trinotate
downregulated,electron transfer,BP,trinotate
regulated,electron transfer,BP,trinotate
downregulated,electron transfer,MF,trinotate
downregulated,electron transfer,MF,trinotate
regulated,electron transfer,MF,trinotate
downregulated,metabolism,KEGG,KEGG
downregulated,metabolism,KEGG,KEGG
regulated,metabolism,KEGG,KEGG
downregulated,envelope,CC,trinotate
downregulated,envelope,CC,trinotate
regulated,envelope,CC,trinotate
downregulated,envelope,CC,uniprot
upregulated,epithelial cell migration,BP,trinotate
upregulated,epithelial cell migration,BP,trinotate
upregulated,epithelial cell migration,BP,trinotate
regulated,epithelial cell migration,BP,trinotate
upregulated,epithelial cell migration,BP,trinotate
upregulated,epithelial cell migration,BP,trinotate
upregulated,epithelial cell migration,BP,trinotate
upregulated,epithelial to mesenchymal transition,BP,trinotate
upregulated,epithelial to mesenchymal transition,BP,trinotate
upregulated,epithelial cell migration,BP,trinotate
upregulated,extracellular region,CC,trinotate
upregulated,extracellular region,CC,trinotate
upregulated,extracellular region,CC,uniprot
upregulated,extracellular region,CC,trinotate
upregulated,extracellular region,CC,trinotate
downregulated,FAD,MF,trinotate
downregulated,FAD,MF,trinotate
downregulated,fatty acid metabolism,BP,trinotate
downregulated,fatty acid metabolism,BP,trinotate
regulated,fatty acid metabolism,BP,trinotate
downregulated,fatty acid metabolism,BP,trinotate
downregulated,fatty acid metabolism,BP,trinotate
downregulated,fatty acid metabolism,BP,trinotate
downregulated,fatty acid metabolism,BP,trinotate
downregulated,fatty acid metabolism,KEGG,KEGG
downregulated,fatty acid metabolism,KEGG,KEGG
regulated,fatty acid metabolism,KEGG,KEGG
downregulated,fatty acid metabolism,BP,trinotate
downregulated,fatty acid metabolism,BP,trinotate
regulated,fatty acid metabolism,BP,trinotate
downregulated,flavin adenine dinucleotide binding,MF,trinotate
downregulated,flavin adenine dinucleotide binding,MF,trinotate
regulated,flavin adenine dinucleotide binding,MF,trinotate
downregulated,flavin adenine dinucleotide binding,MF,uniprot
downregulated,flavin adenine dinucleotide binding,MF,uniprot
downregulated,FMN binding,MF,trinotate
downregulated,FMN binding,MF,uniprot
downregulated,FMN binding,MF,trinotate
upregulated,frizzled binding,MF,trinotate
downregulated,fumarate reductase complex,CC,trinotate
upregulated,G protein-coupled receptor,MF,trinotate
upregulated,G protein-coupled receptor,MF,trinotate
upregulated,G protein-coupled receptor,KEGG,KEGG
upregulated,G protein-coupled receptor,KEGG,KEGG
downregulated,heme metabolism,BP,trinotate
downregulated,heme metabolism,BP,trinotate
downregulated,heme metabolism,BP,trinotate
downregulated,heme metabolism,BP,trinotate
downregulated,heme metabolism,BP,uniprot
downregulated,heme metabolism,BP,uniprot
downregulated,heme metabolism,BP,trinotate
downregulated,heme metabolism,BP,trinotate
downregulated,heme metabolism,BP,uniprot
upregulated,homeostasis,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,immune response,BP,trinotate
upregulated,ion channel activity,MF,trinotate
upregulated,ion channel activity,MF,trinotate
upregulated,ion channel complex,CC,trinotate
upregulated,ion channel complex,CC,trinotate
upregulated,ion transport,BP,trinotate
upregulated,ion transport,BP,trinotate
downregulated,iron-sulfur cluster,BP,trinotate
downregulated,iron-sulfur cluster,BP,trinotate
regulated,iron-sulfur cluster,BP,trinotate
downregulated,iron-sulfur cluster,MF,trinotate
downregulated,iron-sulfur cluster,MF,trinotate
regulated,iron-sulfur cluster,MF,trinotate
downregulated,iron-sulfur cluster,MF,uniprot
downregulated,iron-sulfur cluster,MF,uniprot
downregulated,ketone biosynthesis,BP,trinotate
downregulated,ketone biosynthesis,BP,trinotate
downregulated,ketone biosynthesis,BP,trinotate
downregulated,lipid catabolism,BP,trinotate
downregulated,lipid catabolism,BP,trinotate
downregulated,lipid catabolism,BP,trinotate
downregulated,lipid catabolism,BP,trinotate
downregulated,lipid metabolism,BP,trinotate
downregulated,lipid metabolism,BP,trinotate
downregulated,lipid metabolism,BP,trinotate
downregulated,lipid oxidation,BP,trinotate
downregulated,lipid oxidation,BP,trinotate
upregulated,locomotion,BP,trinotate
upregulated,locomotion,BP,trinotate
upregulated,locomotion,BP,trinotate
downregulated,L-serine metabolism,BP,trinotate
downregulated,L-serine metabolism,BP,trinotate
downregulated,L-serine metabolism,BP,uniprot
downregulated,lyase activity,MF,trinotate
downregulated,lyase activity,MF,trinotate
regulated,lyase activity,MF,trinotate
upregulated,MAPK cascade,BP,trinotate
upregulated,MAPK cascade,BP,trinotate
upregulated,MAPK cascade,BP,trinotate
upregulated,MAPK cascade,BP,trinotate
upregulated,MAPK cascade,BP,trinotate
upregulated,MAPK cascade,BP,trinotate
upregulated,membrane,CC,trinotate
upregulated,membrane,CC,trinotate
downregulated,membrane,CC,trinotate
