alpha,ETRmax,Ek,fvfm,id
0.564418895,21.54056882,35.22844854,0.567,SD8
0.586396243,20.25942107,31.8914118,0.599,SD8
0.670151251,16.02402305,22.07174255,0.567,SD8
0.424892719,21.1915836,46.0385902,0.588,SD8
0.696572349,20.37189838,26.9962328,0.625,SD8
0.581859189,7.563960312,11.99966821,0.577,SD8
0.58675777,20.36767012,32.04205758,0.571,SD8
0.667493358,14.49989813,20.05191691,0.548,SD8
0.696764172,16.47886467,21.83128855,0.59,SD8
0.759815757,11.10216219,13.48767727,0.574,SD8
0.654822212,13.14784745,18.53399952,0.571,SD8
0.700126847,14.9084665,19.6559544,0.594,SD8
0.743441085,13.84098111,17.18534326,0.584,SD8
0.681024406,19.04922313,25.81977697,0.607,SD8
0.625238217,18.4017972,27.16768406,0.59,SD8
0.614444507,19.15262007,28.77288577,0.589,SD8
0.616083499,14.797717,22.17139575,0.556,SS8
0.550813178,16.98752998,28.46844908,0.5,SS8
0.503261606,19.95048347,36.59295814,0.533,SS8
0.505850131,18.46488158,33.69477449,0.518,SS8
0.513164953,18.91251188,34.01967178,0.509,SS8
0.544280359,18.16603853,30.80884817,0.524,SS8
0.59436304,15.34179849,23.82661637,0.535,SS8
0.5281158,19.46969433,34.03046365,0.522,SS8
0.544274101,10.74552052,18.22416683,0.518,SS8
0.53729591,14.6842025,25.22752957,0.533,SS8
0.573610036,12.80105119,20.59997943,0.535,SS8
0.566417086,15.69977485,25.58556269,0.551,SS8
0.612275477,12.49247379,18.83386595,0.523,SS8
0.349728889,14.64298501,41.86953231,0.471,SS60
0.454759311,5.080230183,11.17125051,0.426,SS60
0.269594356,7.968639382,29.55788658,0.448,SS60
0.29645066,17.49250333,59.00645767,0.45,SS60
0.347382483,14.45453448,41.60985419,0.507,SS60
0.380130386,4.318329695,11.36012763,0.364,SS60
0.389563079,8.716733801,22.37566717,0.503,SS60
0.344714754,16.98199084,49.2638932,0.503,SS60
0.287631958,10.73135592,37.30933096,0.478,SS60
0.307010326,9.096998612,29.63092064,0.476,SS60
0.323672569,15.440903,47.70531856,0.482,SS60
0.27598611,12.98420421,47.0465858,0.418,SS60
0.334243048,15.74441343,47.10468481,0.45,SS60
0.285817974,15.84961519,55.45352863,0.502,SS60
0.294143447,14.52942869,49.39572456,0.424,SS60
0.314872185,13.9807072,44.40121379,0.51,SS60
0.434170092,27.30521131,62.89058548,0.498,SS60
0.309051613,17.30574901,55.996307,0.421,SS60
0.304788946,12.31826212,40.41571158,0.457,SS60
0.320816394,13.73407366,42.80976254,0.431,SS60
0.587427221,24.39364971,41.52625013,0.532,SS60
0.346015373,32.44393667,33.8,0.493,SS60
0.400478414,19.09366548,47.67714019,0.48,SS60
0.280401925,11.35887062,40.5092463,0.454,SS60
0.295237855,11.41270359,38.65596293,0.442,SS60
0.503005218,21.89872768,43.53578635,0.506,SS60
0.51694464,26.20001253,50.68243386,0.488,SS60
0.328277765,14.7993953,45.0819303,0.429,SS60
0.492979701,5.114154096,10.37396485,0.493,SS60
0.376882946,5.609180984,14.88308518,0.487,SD60
0.493201998,5.153409519,10.44888209,0.487,SD60
0.487772054,8.28310949,16.98151711,0.537,SD60
0.494119371,4.407514557,8.919938824,0.475,SD60
0.432221796,7.667861462,17.74057101,0.541,SD60
0.439226094,10.02734442,22.82957356,0.527,SD60
0.531473006,6.287264298,11.82988454,0.521,SD60
0.404810088,11.02436412,27.23342241,0.524,SD60
0.572249,14.04672797,24.54653129,0.577,SD60
0.56302839,17.50049601,31.08279496,0.593,SD60
0.582125436,16.66879083,28.63436265,0.58,SD60
0.553858714,16.43280523,29.6696699,0.572,SD60
0.584855854,23.88451289,40.83828989,0.583,SD60
0.642477986,22.17383419,34.51298671,0.582,SD60
0.652023223,23.810052,36.51718397,0.592,SD60
0.530164458,20.07796296,37.87119764,0.589,SD60
0.524945811,20.04740468,38.18947453,0.554,SD60
0.608995391,14.61222784,23.99398758,0.575,SD60
0.587155549,18.92095352,32.22477172,0.573,SD60
0.558867899,24.95236057,44.64804758,0.6,SD60
0.609408278,24.66644648,40.47606074,0.597,SD60
0.502784396,21.89923503,43.55591618,0.591,SD60
0.484391065,21.96969212,45.3552795,0.58,SD60
0.557446464,24.67526976,44.26482427,0.577,SD60
0.391507976,14.53704659,37.13090792,0.525,SD60
0.548941879,19.30084302,35.1600848,0.584,SD60
0.462582767,15.3531385,33.19003562,0.566,SD60
0.591320325,23.59527888,39.90270224,0.582,SD60
0.599506637,23.82890537,39.74752558,0.59,SD60
0.558994868,17.62528989,31.53032507,0.58,SD60
0.456851541,22.59707886,49.4626303,0.544,SD60
0.545287297,22.843059,41.89178644,0.577,SD60
0.599988767,21.46806143,35.78077226,0.585,SD60
0.517709883,19.21297465,37.11146975,0.572,SD60
0.520631716,24.8575662,47.74500942,0.573,SD60
0.499185829,16.10058839,32.25369682,0.496,SS8
0.445492378,15.55839709,34.92404775,0.445,SS8
0.497676547,16.71533429,33.586743,0.472,SS8
0.578792977,17.14188539,29.61660915,0.503,SS8
0.415000085,16.16787267,38.95872132,0.449,SS8
0.434188751,15.20324625,35.01529277,0.448,SS8
0.483707127,16.07083059,33.22429977,0.473,SS8
0.485967964,15.1747231,31.22576845,0.483,SS8
0.431706573,13.21881862,30.61991514,0.439,SS8
0.497620037,15.33770917,30.82212941,0.475,SS8
0.488287589,14.25027373,29.18418172,0.466,SS8
0.543740704,13.49844131,24.82514407,0.467,SS8
0.434310632,13.29726196,30.61693861,0.471,SS8
0.434051496,13.60819237,31.35156196,0.463,SS8
0.562113895,14.18159189,25.22903635,0.505,SD8
0.620445827,14.45355404,23.29543276,0.5,SD8
0.59834893,14.90023445,24.90224967,0.515,SD8
0.599417071,20.76295937,34.63858532,0.551,SD8
0.508814769,14.31734924,28.1386275,0.464,SD8
0.582146937,18.08219199,31.06121638,0.528,SD8
0.548667453,14.77988482,26.93778306,0.496,SD8
0.619975154,17.98432702,29.00814156,0.5,SD8
0.573548066,18.32269824,31.94622965,0.528,SD8
0.540346308,18.86289358,34.90889694,0.514,SD8
0.549634394,17.08901446,31.09160313,0.51,SD8
0.583371768,18.81455354,32.25139539,0.522,SD8
0.447111719,13.55727807,30.32190276,0.431,SD8
0.610765651,16.15158789,26.4448203,0.511,SD8
0.346666193,15.53035935,44.79917467,0.521,SD8
0.543946664,17.0428985,31.33192946,0.498,SD8
0.665302728,15.35855244,23.08505858,0.529,SD8
0.417318552,15.13555066,36.26857849,0.451,SD8
0.490483638,20.34161477,41.47256546,0.497,SD60
0.511777749,20.98880117,41.01155471,0.496,SD60
0.475511273,24.07140809,50.62216072,0.499,SD60
0.528791524,22.06764842,41.73222796,0.481,SD60
0.439868876,19.81164359,45.03988502,0.442,SD60
0.5553705,25.26271176,45.48803325,0.51,SD60
0.508412951,21.21953499,41.73681051,0.499,SD60
