year,chamber,treatment,date_in,date_out,age_days,diameter,n_polyps,more_polyp
2021,4,SS,28/05/2021,07/05/2021,8,2.38,1,0
2021,4,SS,28/05/2021,07/05/2021,8,2.21,1,0
2021,4,SS,28/05/2021,07/05/2021,8,2.06,1,0
2021,4,SS,28/05/2021,07/05/2021,8,2.2,1,0
2021,4,SS,28/05/2021,07/05/2021,8,2.51,1,0
2021,4,SS,28/05/2021,07/05/2021,8,2.6,1,0
2021,4,SS,28/05/2021,07/05/2021,8,2.27,1,0
2021,4,SS,28/05/2021,07/05/2021,8,2.06,1,0
2021,4,SS,28/05/2021,07/05/2021,8,2.98,1,0
2021,3,SS,28/05/2021,07/05/2021,8,2.87,1,0
2021,3,SS,28/05/2021,07/05/2021,8,2.58,1,0
2021,3,SS,28/05/2021,07/05/2021,8,2.08,1,0
2021,3,SS,28/05/2021,07/05/2021,8,2.33,1,0
2021,3,SS,28/05/2021,07/05/2021,8,2.08,1,0
2021,3,SS,28/05/2021,07/05/2021,8,2.59,1,0
2021,3,SS,28/05/2021,07/05/2021,8,1.44,1,0
2021,3,SS,28/05/2021,07/05/2021,8,2.68,1,0
2021,3,SS,28/05/2021,07/05/2021,8,2.39,1,0
2021,2,SS,28/05/2021,07/05/2021,8,2.05,1,0
2021,2,SS,28/05/2021,07/05/2021,8,2.97,1,0
2021,2,SS,28/05/2021,07/05/2021,8,2.8,1,0
2021,2,SS,28/05/2021,07/05/2021,8,2.44,1,0
2021,24,SD,28/05/2021,07/05/2021,8,2.01,1,0
2021,24,SD,28/05/2021,07/05/2021,8,2.87,1,0
2021,24,SD,28/05/2021,07/05/2021,8,1.9,1,0
2021,24,SD,28/05/2021,07/05/2021,8,1.85,1,0
2021,24,SD,28/05/2021,07/05/2021,8,1.79,1,0
2021,24,SD,28/05/2021,07/05/2021,8,1.53,1,0
2021,24,SD,28/05/2021,07/05/2021,8,1.41,1,0
2021,24,SD,28/05/2021,07/05/2021,8,1.34,1,0
2021,24,SD,28/05/2021,07/05/2021,8,1.74,1,0
2021,24,SD,28/05/2021,07/05/2021,8,1.66,1,0
2021,24,SD,28/05/2021,07/05/2021,8,1.5,1,0
2021,24,SD,28/05/2021,07/05/2021,8,1.6,1,0
2021,24,SD,28/05/2021,07/05/2021,8,2.42,1,0
2021,23,SD,28/05/2021,07/05/2021,8,2.47,1,0
2021,23,SD,28/05/2021,07/05/2021,8,3.03,1,0
2021,23,SD,28/05/2021,07/05/2021,8,2.93,1,0
2021,23,SD,28/05/2021,07/05/2021,8,2.81,1,0
2021,23,SD,28/05/2021,07/05/2021,8,2.81,1,0
2021,23,SD,28/05/2021,07/05/2021,8,1,1,0
2021,23,SD,28/05/2021,07/05/2021,8,1.46,1,0
2021,23,SD,28/05/2021,07/05/2021,8,1.3,1,0
2021,23,SD,28/05/2021,07/05/2021,8,1.26,1,0
2021,23,SD,28/05/2021,07/05/2021,8,2.04,1,0
2021,23,SD,28/05/2021,07/05/2021,8,1.92,1,0
2021,23,SD,28/05/2021,07/05/2021,8,2.6,1,0
