direction,term_name,ontology,type
upregulated,fatty acid metabolism,KEGG,KEGG
upregulated,biological adhesion,BP,trinotate
upregulated,brush border,CC,trinotate
upregulated,brush border,CC,trinotate
downregulated,catalytic activity,MF,trinotate
upregulated,cation channel,MF,trinotate
upregulated,cation channel,MF,trinotate
upregulated,cation channel,MF,trinotate
upregulated,cell adhesion,BP,trinotate
upregulated,cell adhesion,CC,trinotate
upregulated,cell adhesion,BP,trinotate
upregulated,cell adhesion,BP,trinotate
upregulated,cell adhesion,BP,trinotate
upregulated,cell adhesion,BP,trinotate
downregulated,chimeric colonial development,BP,trinotate
downregulated,chimeric non-reproductive fruiting body development,BP,trinotate
upregulated,cluster of actin-based cell projections,CC,trinotate
downregulated,cofactor binding,MF,uniprot
downregulated,cofactor binding,MF,uniprot
upregulated,collagen-containing extracellular matrix,CC,trinotate
downregulated,copper ion binding,MF,trinotate
downregulated,copper ion binding,MF,uniprot
downregulated,copper ion binding,MF,uniprot
upregulated,creatine kinase activity,MF,trinotate
upregulated,cytoskeleton,MF,uniprot
upregulated,DNA packaging complex,CC,trinotate
upregulated,DNA packaging complex,CC,trinotate
downregulated,dsRNA binding,MF,trinotate
downregulated,dsRNA processing,BP,trinotate
downregulated,dsRNA processing,BP,trinotate
downregulated,epigenetic regulation,BP,trinotate
upregulated,exosome ,KEGG,KEGG
upregulated,extracellular matrix,CC,trinotate
upregulated,extracellular matrix,CC,trinotate
upregulated,extracellular matrix,MF,trinotate
upregulated,extracellular matrix,CC,trinotate
upregulated,extracellular matrix,CC,trinotate
upregulated,extracellular matrix,CC,trinotate
downregulated,gene silencing,BP,trinotate
downregulated,gene silencing,BP,trinotate
downregulated,gene silencing,BP,trinotate
downregulated,gene silencing,BP,trinotate
downregulated,gene silencing,BP,trinotate
downregulated,gene silencing,BP,trinotate
downregulated,gene silencing,BP,trinotate
downregulated,gene silencing,BP,trinotate
downregulated,gene silencing,BP,trinotate
downregulated,gene silencing,BP,trinotate
downregulated,gene silencing,BP,trinotate
downregulated,gene silencing,BP,trinotate
downregulated,gene silencing,BP,trinotate
downregulated,gene silencing,BP,trinotate
downregulated,gene silencing,BP,trinotate
downregulated,gene silencing,MF,trinotate
downregulated,gene silencing,MF,trinotate
upregulated,glycosaminoglycan binding,MF,trinotate
downregulated,glycoside biosynthetic process,BP,trinotate
upregulated,GPI-anchored proteins ,KEGG,KEGG
upregulated,growth factor,MF,trinotate
downregulated,heme binding,MF,uniprot
upregulated,heparin binding,MF,trinotate
upregulated,induction of bacterial agglutination,BP,trinotate
downregulated,gene silencing,BP,trinotate
downregulated,ion binding,MF,trinotate
upregulated,ion channel,MF,trinotate
upregulated,ion channel,CC,trinotate
upregulated,ion channel,MF,trinotate
upregulated,ion channel,MF,trinotate
upregulated,membrane,CC,trinotate
regulated,membrane,CC,uniprot
upregulated,membrane,CC,uniprot
upregulated,membrane,CC,trinotate
upregulated,membrane,CC,trinotate
regulated,membrane,CC,uniprot
upregulated,membrane,CC,uniprot
upregulated,membrane,CC,trinotate
regulated,membrane,CC,uniprot
upregulated,membrane,CC,uniprot
upregulated,metalloendopeptidase inhibitor activity,MF,trinotate
upregulated,microfibril binding,MF,trinotate
upregulated,microfibril binding,MF,trinotate
downregulated,miRNA binding,MF,trinotate
downregulated,miRNA metabolic process,BP,trinotate
downregulated,miRNA metabolic process,BP,trinotate
downregulated,monooxygenase activity,MF,uniprot
regulated,monooxygenase activity,MF,uniprot
downregulated,negative regulation of cellular amide metabolic process,BP,trinotate
upregulated,negative regulation of cellular response to growth factor stimulus,BP,trinotate
downregulated,negative regulation of translation,BP,trinotate
downregulated,negative regulation of translation,BP,trinotate
downregulated,netrin receptor activity,MF,trinotate
upregulated,retina formation,BP,trinotate
downregulated,neural tube development,BP,trinotate
upregulated,neurotransmitter biosynthetic process,BP,trinotate
upregulated,nucleosome,CC,trinotate
upregulated,nucleosome,CC,trinotate
downregulated,oxidoreductase activity,MF,uniprot
downregulated,oxidoreductase activity,MF,uniprot
downregulated,oxidoreductase activity,MF,uniprot
regulated,oxidoreductase activity,MF,uniprot
downregulated,oxidoreductase activity,MF,uniprot
downregulated,pathogenesis,BP,trinotate
downregulated,pathogenesis,BP,trinotate
upregulated,peptidyl-tyrosine dephosphorylation,BP,trinotate
upregulated,peptidyl-tyrosine dephosphorylation,BP,trinotate
downregulated,peripheral nervous system axon regeneration,BP,trinotate
upregulated,phenol-containing compound biosynthetic process,BP,trinotate
upregulated,phosphagen biosynthetic process,BP,trinotate
upregulated,phosphagen biosynthetic process,BP,trinotate
upregulated,phosphatase activity,MF,trinotate
upregulated,phosphocreatine biosynthetic process,BP,trinotate
upregulated,phosphocreatine biosynthetic process,BP,trinotate
upregulated,phosphoprotein phosphatase activity,MF,trinotate
upregulated,phosphoric ester hydrolase activity,MF,trinotate
upregulated,phosphotransferase activity,MF,trinotate
upregulated,retina formation,BP,trinotate
upregulated,presynapse assembly,BP,trinotate
downregulated,protein modification,BP,trinotate
downregulated,protein modification,BP,trinotate
downregulated,protein modification,BP,trinotate
upregulated,protein tyrosine phosphatase activity,MF,trinotate
downregulated,ubiquitination,BP,trinotate
downregulated,ubiquitination,BP,trinotate
downregulated,ubiquitination,BP,trinotate
upregulated,protein-DNA complex,CC,trinotate
upregulated,protein-DNA complex,CC,uniprot
downregulated,quinone binding,MF,trinotate
upregulated,receptor binding,BP,trinotate
upregulated,regulation of axon regeneration,BP,trinotate
upregulated,regulation of neuron projection regeneration,BP,trinotate
downregulated,response to dsRNA,BP,trinotate
downregulated,response to dsRNA,BP,trinotate
