sample,age,depth,age_depth
SD60_c,60day,mesophotic,SD60
SD60_d,60day,mesophotic,SD60
SD60_e,60day,mesophotic,SD60
SD8_a,8day,mesophotic,SD8
SD8_b,8day,mesophotic,SD8
SD8_c,8day,mesophotic,SD8
Ad76,adult,mesophotic,m_ad
Ad77,adult,mesophotic,m_ad
Ad78,adult,mesophotic,m_ad
DeP_a,planulae,mesophotic,m_pl
DeP_c,planulae,mesophotic,m_pl
DeP_e,planulae,mesophotic,m_pl
SS60_b,60day,shallow,SS60
SS60_c,60day,shallow,SS60
SS60_e,60day,shallow,SS60
SS8_a,8day,shallow,SS8
SS8_b,8day,shallow,SS8
SS8_c,8day,shallow,SS8
Ad85,adult,shallow,s_ad
Ad86,adult,shallow,s_ad
Ad87,adult,shallow,s_ad
ShP_b,planulae,shallow,s_pl
ShP_c,planulae,shallow,s_pl
ShP_d,planulae,shallow,s_pl
