direction,term_name,ontology,type
downregulated,3-beta-hydroxy-delta5-steroid dehydrogenase activity,MF,trinotate
downregulated,3-hydroxyisobutyryl-CoA hydrolase activity,MF,trinotate
downregulated,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity,MF,trinotate
upregulated,acetylgalactosaminyltransferase activity,MF,trinotate
upregulated,acid secretion,BP,trinotate
upregulated,actin cytoskeleton,MF,trinotate
upregulated,actin cytoskeleton,CC,trinotate
upregulated,actin cytoskeleton,CC,trinotate
upregulated,actin cytoskeleton,BP,trinotate
upregulated,actin cytoskeleton,BP,trinotate
upregulated,actin cytoskeleton,BP,trinotate
upregulated,actin cytoskeleton,BP,trinotate
upregulated,actin filament ,CC,trinotate
upregulated,actin filament ,CC,trinotate
upregulated,actin filament ,BP,trinotate
upregulated,actin filament ,BP,trinotate
upregulated,actin filament ,BP,trinotate
upregulated,actin filament ,BP,trinotate
upregulated,actin filament ,BP,trinotate
upregulated,actin polymerization,BP,trinotate
regulated,actomyosin,CC,trinotate
upregulated,actomyosin,CC,trinotate
upregulated,actomyosin,CC,trinotate
upregulated,actomyosin,BP,trinotate
downregulated,metabolism,BP,trinotate
upregulated,adherens junction,CC,trinotate
upregulated,adherens junction,CC,trinotate
upregulated,adherens junction,BP,trinotate
upregulated,adherens junction,BP,trinotate
downregulated,adhesion of symbiont to host,BP,trinotate
upregulated,metabolism,BP,trinotate
upregulated,metabolism,BP,trinotate
downregulated,metabolism,BP,trinotate
downregulated,alpha-ketoacid dehydrogenase activity,MF,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,uniprot
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
regulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,uniprot
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,uniprot
downregulated,amino acid metabolism,BP,uniprot
regulated,amino acid metabolism,BP,uniprot
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,,KEGG
downregulated,amino acid metabolism,,KEGG
regulated,amino acid metabolism,,KEGG
downregulated,amino acid metabolism,,KEGG
downregulated,amino acid metabolism,,KEGG
downregulated,amino acid metabolism,,KEGG
downregulated,amino acid metabolism,,KEGG
downregulated,amino acid metabolism,,KEGG
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,uniprot
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,uniprot
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
regulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,uniprot
regulated,amino acid metabolism,BP,uniprot
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
regulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,uniprot
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
regulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,,KEGG
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,BP,trinotate
downregulated,amino acid metabolism,,KEGG
downregulated,amino acid metabolism,,KEGG
downregulated,amino acid metabolism,MF,trinotate
downregulated,amino acid metabolism,,KEGG
downregulated,amino acid metabolism,,KEGG
downregulated,amino acid metabolism,,KEGG
regulated,amino acid metabolism,,KEGG
upregulated,amino acid transport,MF,trinotate
upregulated,amino acid transport,MF,trinotate
upregulated,amino acid transport,BP,trinotate
upregulated,amino acid transport,BP,trinotate
upregulated,amino acid transport,BP,trinotate
upregulated,aminoglycan biosynthesis,BP,trinotate
upregulated,aminoglycan metabolism,BP,trinotate
upregulated,aminoglycan metabolism,BP,trinotate
upregulated,aminophospholipid transport,BP,trinotate
downregulated,ammonium ion metabolism,BP,trinotate
upregulated,anchoring junction,CC,trinotate
upregulated,angiogenesis,BP,trinotate
upregulated,angiogenesis,BP,trinotate
upregulated,angiogenesis,BP,trinotate
upregulated,anion transport,BP,trinotate
upregulated,anion transport,BP,trinotate
upregulated,anion:cation symporter activity,MF,trinotate
upregulated,annulate lamellae,CC,trinotate
upregulated,cell differentiation,BP,trinotate
upregulated,cell differentiation,BP,trinotate
upregulated,apical part of cell,CC,trinotate
upregulated,apical part of cell,CC,trinotate
upregulated,apoptosis,BP,trinotate
upregulated,apoptosis,BP,trinotate
upregulated,apoptosis,BP,trinotate
upregulated,apoptosis,BP,trinotate
upregulated,apoptosis,BP,trinotate
upregulated,apoptosis,BP,trinotate
upregulated,apoptosis,BP,trinotate
upregulated,apoptosis,BP,trinotate
upregulated,aromatic compound biosynthesis,BP,trinotate
upregulated,aromatic compound biosynthesis,BP,trinotate
downregulated,aromatic compound biosynthesis,BP,trinotate
upregulated,enzyme activity,BP,trinotate
upregulated,asymmetric synapse,CC,trinotate
downregulated,ATP biosynthesis,BP,trinotate
downregulated,ATP biosynthesis,BP,trinotate
regulated,ATP biosynthesis,BP,trinotate
downregulated,ATP biosynthesis,BP,uniprot
downregulated,ATP metabolism,BP,trinotate
downregulated,ATP metabolism,BP,trinotate
regulated,ATP metabolism,BP,trinotate
downregulated,ATP metabolism,BP,uniprot
downregulated,ATP biosynthesis,BP,trinotate
downregulated,ATP biosynthesis,BP,trinotate
downregulated,ATP biosynthesis,BP,trinotate
downregulated,ATP biosynthesis,BP,uniprot
upregulated,ATPase inhibitor activity,MF,trinotate
upregulated,axon guidance,BP,trinotate
upregulated,axon guidance,BP,trinotate
