PAR,rETR,Colony,Treatment,Age
0,0,1,SS,8
1,0.483,1,SS,8
10,3.95,1,SS,8
20,7.34,1,SS,8
35,11.585,1,SS,8
55,13.86,1,SS,8
80,15.76,1,SS,8
110,15.4,1,SS,8
145,16.24,1,SS,8
185,15.355,1,SS,8
230,0,1,SS,8
280,0,1,SS,8
335,0,1,SS,8
0,0,2,SS,8
1,0.438,2,SS,8
10,3.46,2,SS,8
20,6.32,2,SS,8
35,10.185,2,SS,8
55,12.925,2,SS,8
80,15.28,2,SS,8
110,14.52,2,SS,8
145,17.255,2,SS,8
185,12.21,2,SS,8
230,16.79,2,SS,8
280,0,2,SS,8
335,0,2,SS,8
0,0,3,SS,8
1,0.464,3,SS,8
10,3.77,3,SS,8
20,7.06,3,SS,8
35,11.235,3,SS,8
55,14.08,3,SS,8
80,15.44,3,SS,8
110,15.51,3,SS,8
145,14.5,3,SS,8
185,18.5,3,SS,8
230,0,3,SS,8
280,0,3,SS,8
335,0,3,SS,8
0,0,4,SS,8
1,0.5,4,SS,8
10,4.26,4,SS,8
20,7.88,4,SS,8
35,12.565,4,SS,8
55,15.29,4,SS,8
80,17.28,4,SS,8
110,16.72,4,SS,8
145,15.225,4,SS,8
185,18.13,4,SS,8
230,0,4,SS,8
280,0,4,SS,8
335,0,4,SS,8
0,0,5,SS,8
1,0.45,5,SS,8
10,3.56,5,SS,8
20,6.58,5,SS,8
35,10.325,5,SS,8
55,13.145,5,SS,8
80,14.96,5,SS,8
110,14.52,5,SS,8
145,17.98,5,SS,8
185,14.985,5,SS,8
230,0,5,SS,8
280,0,5,SS,8
335,0,5,SS,8
0,0,6,SS,8
1,0.43,6,SS,8
10,3.3,6,SS,8
20,6.2,6,SS,8
35,9.905,6,SS,8
55,12.76,6,SS,8
80,14.08,6,SS,8
110,13.2,6,SS,8
145,14.065,6,SS,8
185,16.465,6,SS,8
230,0,6,SS,8
280,0,6,SS,8
335,0,6,SS,8
0,0,7,SS,8
1,0.462,7,SS,8
10,3.77,7,SS,8
20,6.88,7,SS,8
35,11.06,7,SS,8
55,14.355,7,SS,8
80,16.16,7,SS,8
110,15.4,7,SS,8
145,17.11,7,SS,8
185,12.025,7,SS,8
230,15.18,7,SS,8
280,0,7,SS,8
335,0,7,SS,8
0,0,8,SS,8
1,0.467,8,SS,8
10,3.72,8,SS,8
20,6.78,8,SS,8
35,11.095,8,SS,8
55,12.815,8,SS,8
80,14.48,8,SS,8
110,11.11,8,SS,8
145,17.98,8,SS,8
185,14.8,8,SS,8
230,0,8,SS,8
280,0,8,SS,8
335,0,8,SS,8
0,0,9,SS,8
1,0.429,9,SS,8
10,3.26,9,SS,8
20,5.92,9,SS,8
35,9.135,9,SS,8
55,11.77,9,SS,8
80,12.32,9,SS,8
110,12.98,9,SS,8
145,11.455,9,SS,8
185,14.245,9,SS,8
230,0,9,SS,8
280,0,9,SS,8
335,0,9,SS,8
0,0,10,SS,8
1,0.453,10,SS,8
10,3.51,10,SS,8
20,6.72,10,SS,8
35,10.815,10,SS,8
55,13.53,10,SS,8
80,15.04,10,SS,8
110,13.31,10,SS,8
145,14.935,10,SS,8
185,15.91,10,SS,8
230,0,10,SS,8
280,0,10,SS,8
335,0,10,SS,8
0,0,11,SS,8
1,0.448,11,SS,8
10,3.54,11,SS,8
20,6.66,11,SS,8
35,10.605,11,SS,8
55,13.695,11,SS,8
80,13.92,11,SS,8
110,14.19,11,SS,8
145,12.615,11,SS,8
185,14.245,11,SS,8
230,0,11,SS,8
280,0,11,SS,8
335,0,11,SS,8
0,0,12,SS,8
1,0.465,12,SS,8
10,3.84,12,SS,8
20,6.86,12,SS,8
35,10.815,12,SS,8
55,13.09,12,SS,8
80,13.2,12,SS,8
110,10.89,12,SS,8
145,14.79,12,SS,8
185,0,12,SS,8
230,0,12,SS,8
280,0,12,SS,8
335,0,12,SS,8
0,0,13,SS,8
1,0.447,13,SS,8
10,3.37,13,SS,8
20,6.4,13,SS,8
35,9.94,13,SS,8
55,12.595,13,SS,8
80,13.2,13,SS,8
110,13.75,13,SS,8
145,10.15,13,SS,8
185,0,13,SS,8
230,0,13,SS,8
280,0,13,SS,8
335,0,13,SS,8
0,0,14,SS,8
1,0.46,14,SS,8
10,3.6,14,SS,8
20,6.5,14,SS,8
35,9.975,14,SS,8
55,12.485,14,SS,8
80,12.96,14,SS,8
110,13.64,14,SS,8
145,12.905,14,SS,8
185,0,14,SS,8
230,0,14,SS,8
280,0,14,SS,8
335,0,14,SS,8
0,0,15,SD,8
1,0.494,15,SD,8
10,4.02,15,SD,8
20,7.92,15,SD,8
35,12.355,15,SD,8
55,14.08,15,SD,8
80,13.68,15,SD,8
110,12.87,15,SD,8
145,11.745,15,SD,8
185,0,15,SD,8
230,0,15,SD,8
280,0,15,SD,8
335,0,15,SD,8
0,0,16,SD,8
1,0.487,16,SD,8
10,3.85,16,SD,8
20,7.82,16,SD,8
35,12.775,16,SD,8
55,14.795,16,SD,8
80,15.04,16,SD,8
110,12.65,16,SD,8
145,12.47,16,SD,8
185,14.06,16,SD,8
230,0,16,SD,8
280,0,16,SD,8
335,0,16,SD,8
0,0,17,SD,8
1,0.511,17,SD,8
10,4.03,17,SD,8
20,7.74,17,SD,8
35,12.53,17,SD,8
55,14.96,17,SD,8
80,16,17,SD,8
110,12.65,17,SD,8
145,13.195,17,SD,8
185,13.69,17,SD,8
230,0,17,SD,8
280,0,17,SD,8
335,0,17,SD,8
0,0,18,SD,8
1,0.541,18,SD,8
10,4.78,18,SD,8
20,9.16,18,SD,8
35,14.665,18,SD,8
55,18.37,18,SD,8
80,20.56,18,SD,8
110,21.34,18,SD,8
145,18.125,18,SD,8
185,15.355,18,SD,8
230,0,18,SD,8
280,0,18,SD,8
335,0,18,SD,8
0,0,19,SD,8
1,0.448,19,SD,8
10,3.73,19,SD,8
20,7.18,19,SD,8
35,11.41,19,SD,8
55,14.19,19,SD,8
80,14.32,19,SD,8
110,13.75,19,SD,8
145,10.44,19,SD,8
185,0,19,SD,8
230,0,19,SD,8
