alpha,beta,ETRmax,Ek,ps,fvfm,age,treatment,year,chamber
0.564418895,0,21.54056882,35.22844854,129.2434129,0.567,8,SD,2021,32
0.586396243,0.024557576,20.25942107,31.8914118,144.8941617,0.599,8,SD,2021,32
0.670151251,0.010971322,16.02402305,22.07174255,104.5511084,0.567,8,SD,2021,32
0.424892719,0,21.1915836,46.0385902,127.1495016,0.588,8,SD,2021,32
0.696572349,0,20.37189838,26.9962328,122.2313903,0.625,8,SD,2021,32
0.581859189,4.428595375,7.563960312,11.99966821,1000,0.577,8,SD,2021,32
0.58675777,1.481083515,20.36767012,32.04205758,1000,0.571,8,SD,2021,32
0.667493358,2.495350254,14.49989813,20.05191691,1000,0.548,8,SD,2021,32
0.696764172,2.251892071,16.47886467,21.83128855,1000,0.59,8,SD,2021,33
0.759815757,3.822015622,11.10216219,13.48767727,1000,0.574,8,SD,2021,33
0.654822212,0.032902606,13.14784745,18.53399952,96.52326686,0.571,8,SD,2021,33
0.700126847,0.042480296,14.9084665,19.6559544,112.8651397,0.594,8,SD,2021,33
0.743441085,0,13.84098111,17.18534326,83.04588663,0.584,8,SD,2021,33
0.681024406,0,19.04922313,25.81977697,114.2953388,0.607,8,SD,2021,34
0.625238217,0,18.4017972,27.16768406,110.4107832,0.59,8,SD,2021,34
0.614444507,1.667804716,19.15262007,28.77288577,1000,0.589,8,SD,2021,34
0.616083499,2.250854337,14.797717,22.17139575,1000,0.556,8,SS,2021,35
0.550813178,0,16.98752998,28.46844908,101.9251799,0.5,8,SS,2021,35
0.503261606,1.301860616,19.95048347,36.59295814,1000,0.533,8,SS,2021,35
0.505850131,1.433121482,18.46488158,33.69477449,1000,0.518,8,SS,2021,36
0.513164953,0,18.91251188,34.01967178,113.4750713,0.509,8,SS,2021,36
0.544280359,0,18.16603853,30.80884817,108.9962312,0.524,8,SS,2021,36
0.59436304,2.084381988,15.34179849,23.82661637,1000,0.535,8,SS,2021,36
0.5281158,1.406061177,19.46969433,34.03046365,1000,0.522,8,SS,2021,36
0.544274101,2.837431522,10.74552052,18.22416683,1000,0.518,8,SS,2021,36
